t,sector,dataType,value
2,16,productionValue,0.0
2,16,productionVolume,0.0
2,16,productDestruction,NA
2,16,sectorSize,0.0
2,16,speed,0.049500003
2,16,unsoldVolume,NA
2,16,unsoldVolumePositif,NA
2,17,consumptionBudget,4101899.8
2,17,consumptionValue,NA
2,17,consumptionVolume,NA
2,17,laborUsed,NA
2,17,maxPrice,NA
2,17,minPrice,NA
2,17,price,91.913345
2,17,productionValue,1.8184182E7
2,17,productionVolume,197840.33
2,17,productDestruction,NA
2,17,sectorSize,2497.0
2,17,speed,-0.049500003
2,17,unsoldVolume,NA
2,17,unsoldVolumePositif,NA
2,18,consumptionBudget,1820202.5
2,18,consumptionValue,NA
2,18,consumptionVolume,NA
2,18,laborUsed,NA
2,18,maxPrice,NA
2,18,minPrice,NA
2,18,price,108.41335
2,18,productionValue,0.0
2,18,productionVolume,0.0
2,18,productDestruction,NA
2,18,sectorSize,0.0
2,18,speed,0.049500003
2,18,unsoldVolume,NA
2,18,unsoldVolumePositif,NA
2,19,consumptionBudget,730003.0
2,19,consumptionValue,NA
2,19,consumptionVolume,NA
2,19,laborUsed,NA
2,19,maxPrice,NA
2,19,minPrice,NA
2,19,price,91.913345
2,19,productionValue,9610853.0
2,19,productionVolume,104564.22
2,19,productDestruction,NA
2,19,sectorSize,1502.0
2,19,speed,-0.049500003
2,19,unsoldVolume,NA
2,19,unsoldVolumePositif,NA
3,0,consumptionBudget,3543882.0
3,0,consumptionValue,NA
3,0,consumptionVolume,NA
3,0,laborUsed,NA
3,0,maxPrice,NA
3,0,minPrice,NA
3,0,price,116.46304
3,0,productionValue,5780.542
3,0,productionVolume,49.634132
3,0,productDestruction,NA
3,0,sectorSize,2.0
3,0,speed,0.074250005
3,0,unsoldVolume,NA
3,0,unsoldVolumePositif,NA
3,1,consumptionBudget,3258609.5
3,1,consumptionValue,NA
3,1,consumptionVolume,NA
3,1,laborUsed,NA
3,1,maxPrice,NA
3,1,minPrice,NA
3,1,price,116.46304
3,1,productionValue,0.0
3,1,productionVolume,0.0
3,1,productDestruction,NA
3,1,sectorSize,0.0
3,1,speed,0.074250005
3,1,unsoldVolume,NA
3,1,unsoldVolumePositif,NA
3,2,consumptionBudget,3806821.0
3,2,consumptionValue,NA
3,2,consumptionVolume,NA
3,2,laborUsed,NA
3,2,maxPrice,NA
3,2,minPrice,NA
3,2,price,85.08878
3,2,productionValue,5244566.5
3,2,productionVolume,61636.414
3,2,productDestruction,NA
3,2,sectorSize,935.0
3,2,speed,-0.074250005
3,2,unsoldVolume,NA
3,2,unsoldVolumePositif,NA
3,3,consumptionBudget,3098600.8
3,3,consumptionValue,NA
3,3,consumptionVolume,NA
3,3,laborUsed,NA
3,3,maxPrice,NA
3,3,minPrice,NA
